,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,talavera,15.62,120.93,77.0,88,75,4.7,PH,1591993597
151,coquimbo,-29.95,-71.34,62.6,63,0,12.75,CL,1591993319
152,souillac,-20.52,57.52,71.6,88,75,14.99,MU,1591993597
153,guerrero negro,17.67,-100.0,86.49,37,3,4.16,MX,1591993597
154,kavieng,-2.57,150.8,81.84,78,12,8.95,PG,1591993597
155,filingue,14.35,3.32,90.41,48,0,9.69,NE,1591993597
156,mount isa,53.66,-1.85,54.0,99,100,5.01,GB,1591993598
157,carnarvon,-24.87,113.63,63.63,70,24,22.19,AU,1591993598
158,arkansas city,34.75,-92.5,88.0,33,1,6.71,US,1591993598
159,zaranj,30.97,61.88,80.6,24,0,16.11,AF,1591993598
160,hasaki,35.73,140.83,73.4,94,75,7.94,JP,1591993599
161,antofagasta,-23.65,-70.4,60.8,77,90,13.87,CL,1591993599
162,sao joao da barra,20.51,76.21,77.09,80,100,14.85,IN,1591993599
163,tahe,52.33,124.73,49.06,77,4,3.53,CN,1591993600
164,kastamonu,41.5,33.67,53.69,87,100,3.02,TR,1591993600
165,manavalakurichi,8.13,77.3,82.4,88,40,1.12,IN,1591993600
166,luderitz,-26.65,15.16,62.6,29,0,6.93,,1591993600
167,bagotville,-28.98,153.42,60.8,93,75,4.97,AU,1591993600
168,mogadishu,2.04,45.34,79.83,80,93,18.37,SO,1591993600
169,nola,40.92,14.53,66.0,68,0,2.84,IT,1591993600
170,severo-kurilsk,50.68,156.12,42.12,93,100,22.77,RU,1591993600
171,senador jose porfirio,18.82,-71.9,87.8,62,75,14.99,HT,1591993600
172,bodden town,51.2,-2.52,59.0,91,39,1.01,GB,1591993601
173,trairi,-3.28,-39.27,78.21,89,69,9.82,BR,1591993601
174,paita,-5.09,-81.11,78.8,57,0,18.34,PE,1591993601
175,port hardy,-7.03,29.76,73.85,57,11,6.73,CD,1591993586
176,santa cruz,17.49,120.43,78.96,84,88,6.4,PH,1591993602
177,abbeville,50.1,1.83,60.01,79,78,7.4,FR,1591993602
178,nantucket,41.28,-70.1,66.2,93,90,8.05,US,1591993602
179,salihorsk,52.79,27.54,68.67,91,3,9.8,BY,1591993602
180,emba,48.83,58.14,75.65,27,75,1.9,KZ,1591993602
181,jumla,29.27,82.18,59.47,70,49,0.67,NP,1591993602
182,mahanoro,-19.9,48.8,67.12,86,92,4.25,MG,1591993602
183,longyearbyen,78.22,15.64,39.2,80,75,23.04,SJ,1591993602
184,pangnirtung,66.15,-65.71,37.4,86,75,11.41,CA,1591993603
185,srednekolymsk,67.45,153.68,62.85,55,97,10.63,RU,1591993603
186,mackay,-21.15,149.2,69.8,94,90,5.82,AU,1591993603
187,maceio,-9.67,-35.74,78.8,74,20,6.93,BR,1591993603
188,karlskrona,56.16,15.59,62.6,77,68,12.75,SE,1591993603
189,cairns,-16.92,145.77,73.4,83,90,9.17,AU,1591993603
190,murgab,37.5,61.97,77.0,36,0,4.7,TM,1591993603
191,cruzeiro do sul,-22.58,-44.96,75.2,53,6,2.24,BR,1591993604
192,beloha,-25.17,45.05,62.65,88,0,2.33,MG,1591993604
193,ponta do sol,38.73,-28.27,64.4,82,75,11.41,PT,1591993604
194,saldanha,-33.01,17.94,48.2,87,0,1.12,ZA,1591993604
195,kuala terengganu,3.38,98.62,78.8,94,40,4.7,ID,1591993604
196,aklavik,68.22,-135.01,66.2,42,75,9.17,CA,1591993604
197,guarapari,-20.67,-40.5,81.0,71,96,6.31,BR,1591993604
198,ortakoy,38.74,34.04,59.0,82,75,9.17,TR,1591993604
199,mumford,5.26,-0.76,78.15,88,100,13.85,GH,1591993605
200,riachao do dantas,-7.36,-46.62,83.62,61,65,5.06,BR,1591993605
201,lorengau,-2.02,147.27,82.22,80,42,9.4,PG,1591993605
202,black forest,31.01,-85.74,89.01,38,1,9.17,US,1591993605
203,mitsamiouli,-11.38,43.28,78.08,68,8,5.79,KM,1591993605
204,olga,43.74,135.29,56.37,77,0,3.8,RU,1591993605
205,sitka,57.05,-135.33,55.4,76,20,3.36,US,1591993605
206,ignalina,55.35,26.17,64.0,93,30,11.68,LT,1591993605
207,riyadh,24.69,46.72,93.2,15,0,6.93,SA,1591993487
208,coahuayana,18.73,-103.68,91.4,52,40,11.41,MX,1591993606
209,zonguldak,41.25,31.83,56.84,88,14,4.18,TR,1591993606
210,hovd,48.01,91.64,56.77,36,0,0.29,MN,1591993606
211,dikson,73.51,80.55,33.31,94,66,7.65,RU,1591993583
212,mandurah,-32.55,115.7,51.01,93,90,8.05,AU,1591993606
213,krasnoselkup,65.7,82.47,44.96,63,100,11.05,RU,1591993606
214,kargopol,61.51,38.95,46.06,80,0,5.82,RU,1591993606
215,naron,43.52,-8.15,59.0,87,75,10.29,ES,1591993606
216,pimentel,-6.84,-79.93,71.6,64,11,23.04,PE,1591993607
217,kloulklubed,7.04,134.26,77.0,94,75,4.7,PW,1591993607
218,bandipur,27.93,84.42,69.04,100,90,1.9,NP,1591993607
219,sao filipe,20.51,76.21,77.25,80,100,11.07,IN,1591993461
220,tonantins,-2.87,-67.8,81.82,73,68,1.57,BR,1591993607
221,bubaque,11.28,-15.83,81.9,82,58,9.95,GW,1591993607
222,cockburn town,-32.08,141.0,55.4,54,100,12.75,AU,1591993607
223,nanlong,31.35,106.06,79.2,68,39,1.25,CN,1591993607
224,byron bay,44.03,-92.65,80.6,34,75,8.05,US,1591993397
225,wladyslawowo,54.79,18.4,68.0,85,100,12.66,PL,1591993608
226,pyatovskiy,54.69,36.06,66.2,82,100,13.42,RU,1591993608
227,yantal,56.85,105.25,50.94,63,100,2.89,RU,1591993608
228,braganca paulista,-1.05,-46.77,77.79,96,100,2.08,BR,1591993608
229,avera,33.19,-82.53,89.6,43,1,11.41,US,1591993608
230,kharovsk,59.96,40.19,48.36,79,3,7.36,RU,1591993608
231,marsh harbour,53.65,-1.81,54.0,99,100,5.01,GB,1591993608
232,nichinan,31.6,131.37,77.0,88,75,14.99,JP,1591993609
233,koppies,-27.24,27.57,34.86,76,0,6.46,ZA,1591993609
234,lahaina,20.88,-156.68,87.8,54,20,17.22,US,1591993594
235,itarema,-2.92,-39.92,79.77,85,57,12.46,BR,1591993609
236,clyde river,41.3,-82.98,77.0,47,9,3.0,US,1591993609
237,mizdah,31.45,12.98,83.05,28,16,22.88,LY,1591993609
238,morrope,-6.54,-80.01,71.6,64,3,23.04,PE,1591993609
239,agropoli,40.35,15.0,66.0,73,0,3.0,IT,1591993609
240,geraldton,-28.77,114.6,55.4,71,90,9.17,AU,1591993610
241,neyshabur,36.21,58.8,74.7,18,0,7.7,IR,1591993396
242,high rock,33.61,-95.75,90.0,35,1,3.36,US,1591993610
243,olafsvik,64.89,-23.71,40.69,92,100,17.2,IS,1591993610
244,port elizabeth,-7.03,29.76,73.85,57,11,6.73,CD,1591993610
245,ushtobe,45.25,77.98,61.5,48,7,7.58,KZ,1591993611
246,hailin,44.58,129.42,57.04,95,100,4.05,CN,1591993611
247,humboldt,40.67,-123.92,63.0,45,99,8.99,US,1591993611
248,ostrovnoy,68.05,39.51,48.43,70,100,7.96,RU,1591993611
249,ometepec,16.68,-98.42,93.07,42,84,7.27,MX,1591993611
250,san patricio,13.3,-4.9,99.9,22,100,4.97,ML,1591993611
251,saint-augustin,51.23,-58.65,57.34,84,100,23.49,CA,1591993611
252,bonavista,48.65,-53.11,55.11,53,0,19.42,CA,1591993612
253,montana,43.41,23.23,61.81,71,92,7.02,BG,1591993612
254,hailun,47.45,126.93,58.35,85,4,2.57,CN,1591993612
255,nemuro,43.32,145.57,56.48,71,0,17.27,JP,1591993612
256,sorland,67.67,12.69,57.2,50,0,10.29,NO,1591993612
257,ozernovskiy,51.5,156.52,46.18,76,100,22.01,RU,1591993612
258,vila velha,42.03,-8.16,53.01,90,63,7.0,PT,1591993612
259,naze,28.37,129.48,78.8,100,90,9.17,JP,1591993612
260,iqaluit,63.75,-68.51,42.8,56,40,17.22,CA,1591993586
261,salalah,17.02,54.09,86.0,84,75,6.93,OM,1591993529
262,pasighat,28.07,95.33,77.04,86,69,2.24,IN,1591993613
263,gao,16.64,1.64,101.59,17,7,13.69,ML,1591993613
264,killam,52.78,-111.85,75.18,56,22,12.66,CA,1591993613
265,zlitan,32.47,14.57,74.66,59,0,12.06,LY,1591993613
266,khandyga,62.67,135.6,52.56,64,1,2.71,RU,1591993613
267,nago,26.59,127.98,80.6,88,20,8.05,JP,1591993613
268,talas,38.69,35.55,55.4,87,75,6.93,TR,1591993613
269,olavarria,-36.89,-60.32,55.99,56,49,3.0,AR,1591993614
270,narsaq,60.92,-46.05,42.8,81,75,5.82,GL,1591993614
271,sinegorskiy,48.01,40.84,75.18,45,81,9.93,RU,1591993614
272,half moon bay,6.38,-10.7,80.6,83,20,3.36,LR,1591993614
273,charlestown,-32.95,151.67,55.99,97,97,3.02,AU,1591993614
274,bathsheba,13.22,-59.52,86.0,66,40,14.99,BB,1591993614
275,leningradskiy,69.38,178.42,49.59,71,100,8.46,RU,1591993614
276,palencia,42.42,-4.5,51.01,90,56,4.0,ES,1591993614
277,nyurba,63.28,118.33,48.58,97,22,5.39,RU,1591993615
278,seymchan,62.88,152.43,57.49,58,78,11.92,RU,1591993615
279,toamasina,-18.17,49.38,68.0,94,75,11.41,MG,1591993615
280,aasiaat,68.71,-52.87,35.64,84,0,16.98,GL,1591993615
281,tremedal,-14.98,-41.41,77.45,46,0,7.43,BR,1591993615
282,chimore,-16.98,-65.13,82.58,70,90,1.32,BO,1591993615
283,ratnagiri,16.98,73.3,80.28,88,99,8.41,IN,1591993615
284,nishihara,26.18,127.76,80.6,94,40,12.75,JP,1591993615
285,nabire,-3.37,135.48,75.76,86,10,3.36,ID,1591993593
286,qui nhon,-10.97,-37.6,82.4,65,40,10.29,BR,1591993616
287,agirish,61.92,63.02,41.9,77,41,7.52,RU,1591993586
288,santa isabel do rio negro,17.49,120.43,78.96,84,88,6.4,PH,1591993616
289,hammerfest,70.66,23.68,46.4,75,5,26.4,NO,1591993616
290,chipata,-13.63,32.65,61.45,52,0,6.6,ZM,1591993616
291,nagornyy,52.8,83.55,69.8,46,0,8.95,RU,1591993616
292,merauke,-8.47,140.33,78.39,87,36,11.9,ID,1591993609
293,zapolyarnyy,69.42,30.81,55.4,50,100,9.17,RU,1591993617
294,miri,4.41,114.01,78.8,94,75,4.7,MY,1591993617
295,sedkyrkeshch,61.75,50.92,46.4,65,0,6.71,RU,1591993617
296,sinazongwe,-17.26,27.46,68.11,35,0,11.43,ZM,1591993617
297,eyl,7.98,49.82,84.2,62,100,26.87,SO,1591993617
298,taltal,-25.4,-70.48,65.19,59,15,5.1,CL,1591993617
299,batangafo,7.3,18.28,74.43,79,9,3.6,CF,1591993617
300,alofi,-19.06,-169.92,75.2,73,75,20.8,NU,1591993618
301,dingle,11.0,122.67,77.2,84,90,1.88,PH,1591993618
302,saskylakh,71.92,114.08,40.91,70,28,10.49,RU,1591993618
303,kununurra,-15.77,128.73,64.4,44,0,6.69,AU,1591993618
304,aden,12.78,45.04,89.02,67,0,10.09,YE,1591993496
305,bilibino,68.05,166.44,61.72,60,100,4.12,RU,1591993618
306,maralal,1.1,36.7,59.34,86,31,0.92,KE,1591993618
307,meulaboh,4.14,96.13,78.84,76,97,3.27,ID,1591993619
308,sawtell,-30.38,153.1,61.0,87,90,6.96,AU,1591993619
309,port hedland,-7.03,29.76,73.85,57,11,6.73,CD,1591993525
310,impfondo,1.64,18.07,71.91,92,4,3.18,CG,1591993619
311,kumluca,36.37,30.29,69.94,66,0,3.83,TR,1591993619
312,porto novo,41.15,-8.61,60.01,93,40,3.36,PT,1591993502
313,farap,39.17,63.61,75.2,33,0,4.7,TM,1591993619
314,taoudenni,22.68,-3.98,101.53,13,0,8.9,ML,1591993620
315,changde,29.05,111.68,76.87,96,100,6.24,CN,1591993620
316,podporozhye,60.91,34.17,50.04,72,1,4.74,RU,1591993620
317,skokovi,45.03,15.91,66.0,70,0,1.99,BA,1591993583
318,lompoc,34.64,-120.46,64.99,68,0,14.99,US,1591993346
319,senneterre,48.38,-77.23,37.4,93,90,13.87,CA,1591993620
320,karratha,-20.74,116.85,74.08,44,81,5.79,AU,1591993620
321,bull savanna,6.2,-10.28,80.6,83,20,3.36,LR,1591993621
322,seoul,37.57,126.98,68.0,100,100,4.7,KR,1591993538
323,buala,-8.14,159.59,80.76,73,40,2.53,SB,1591993621
324,koslan,63.46,48.9,40.19,71,35,6.6,RU,1591993621
325,khorixas,-20.37,14.97,58.06,35,0,14.7,,1591993621
326,arteaga,18.47,-102.42,90.72,36,13,4.14,MX,1591993621
327,ancud,-41.87,-73.82,46.99,65,31,5.82,CL,1591993621
328,padang,-0.95,100.35,77.72,79,85,4.9,ID,1591993622
329,tirau,-37.98,175.75,51.01,89,100,1.99,NZ,1591993622
330,glen allen,46.42,-93.52,68.0,52,40,6.93,US,1591993622
331,labuhan,-6.88,112.21,75.92,86,77,5.79,ID,1591993622
332,katsuura,35.13,140.3,75.0,94,100,6.55,JP,1591993622
333,sistranda,63.73,8.83,64.4,68,96,3.36,NO,1591993623
334,pinega,64.7,43.39,40.96,85,7,4.76,RU,1591993623
335,ust-karsk,52.7,118.81,48.63,88,99,2.89,RU,1591993623
336,kaohsiung,22.62,120.31,86.0,70,75,8.05,TW,1591993623
337,kapra,17.48,78.56,77.0,88,40,5.82,IN,1591993623
338,tongren,27.72,109.19,75.24,90,100,2.28,CN,1591993623
339,havoysund,71.0,24.66,46.4,75,49,26.4,NO,1591993623
340,whakatane,-37.96,176.99,51.01,89,100,1.99,NZ,1591993623
341,callaguip,18.07,120.49,82.74,72,100,6.62,PH,1591993624
342,orocue,4.79,-71.34,82.13,79,69,4.9,CO,1591993624
343,eureka,40.8,-124.16,63.0,79,76,5.01,US,1591993377
344,arraial do cabo,-22.84,-46.65,82.4,37,0,5.82,BR,1591993624
345,semey,50.41,80.23,66.02,49,0,5.91,KZ,1591993624
